training	image REDACTED role performance truly	14	image_1	role_1	Empty	could_AUX	not_PART	image_NOUN	in_ADP	a_DET	serious_ADJ	role_NOUN
validation	use humor exploration toughness training fun watching REDACTED thing trainer kept riveted thoroughly entertained	11	humor_1	exploration_1	the_DET	fun_NOUN	of_ADP	watching_VERB	do_VERB	his_PRON	own_ADJ	thing_NOUN
validation	mind character played REDACTED symbol Indian feminine protest Indian society	12	mind_1	character_1	very_ADJ	character_NOUN	played_VERB	by_ADP	is_AUX	a_DET	symbol_NOUN	of_ADP
validation	impressed REDACTED attractive played character total earnestness	11	character_1	earnestness_1	Empty	was_AUX	impressed_ADJ	with_ADP	who_PRON	was_AUX	quite_ADV	attractive_ADJ
validation	impressed REDACTED understand long time fixture Bollywood	12	time_1	fixture_1	even_ADV	more_ADV	impressed_ADJ	with_ADP	who_PRON	I_PRON	understand_VERB	is_AUX
validation	apparent connections REDACTED Park wooks films incestuous relation disturbed subtle erotic theme hung vampiric physical action	6	connections_1	wooks_1	the_DET	apparent_ADJ	connections_NOUN	with_ADP	and_CCONJ	Park_PROPN	wooks_VERB	other_ADJ
validation	Park wook mastered cinematography film owes lot REDACTED lot beautiful shots strewn film simple effects require glances probably repeated views fully catch	15	film_2	lot_2	owes_VERB	a_DET	lot_NOUN	to_PART	there_PRON	are_VERB	a_DET	whole_ADJ
validation	REDACTED new film complex film easy classify	16	film_2	Empty_0	Empty	Empty	Empty	Empty	new_ADJ	film_NOUN	is_AUX	a_DET
validation	film takes matters mixes classic European literature case REDACTED Th r se Raquin	12	film_1	matters_1	literature_NOUN	in_ADP	this_DET	case_NOUN	Th_PROPN	r_NOUN	se_X	Raquin_PROPN
validation	ve seen film help feel like REDACTED version Twilight	16	film_1	help_1	feel_VERB	like_ADP	this_PRON	was_AUX	version_NOUN	of_ADP	Twilight_PROPN	Empty
validation	psychological aspect love REDACTEDs previous films Thirst	4	aspect_1	love_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
validation	REDACTED bites vampire mythology Thirst puts dark psychological twist	14	bites_1	vampire_1	Empty	Empty	Empty	Empty	bites_NOUN	into_ADP	the_DET	vampire_ADJ
validation	REDACTED creates guaranteed unique brilliant twisted minimum	14	minimum_2	 _1	Empty	Empty	Empty	Empty	creates_VERB	is_AUX	guaranteed_VERB	to_PART
validation	negative sound positives definitely outweigh negatives volume doubt added dark twisted Zeitgeist REDACTED film	14	sound_1	positives_1	and_CCONJ	twisted_ADJ	Zeitgeist_PROPN	of_ADP	film_NOUN	Empty	Empty	Empty
validation	case watched REDACTED American title Thirst	6	case_1	title_1	case_NOUN	when_SCONJ	I_PRON	watched_AUX	under_ADP	the_DET	American_ADJ	title_NOUN
validation	  negatives REDACTED	6	negatives_2	 _1	I_PRON	can_AUX	say_VERB	about_ADP	Empty	Empty	Empty	Empty
validation	bakjwi literally means bat korean know classic vampire stories count REDACTED vampires turning bat fly away wuheva	7	vampire_1	stories_1	stories_NOUN	you_PRON	see_VERB	count_NOUN	or_CCONJ	vampires_NOUN	turning_VERB	into_ADP
validation	Duality human nature read REDACTEDs fables fable mammals birds fighting bat tries play sides advantage	5	nature_1	fables_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
validation	REDACTED master cinematography movie exception	14	master_1	cinematography_1	Empty	Empty	Empty	Empty	is_AUX	a_DET	master_NOUN	of_ADP
validation	REDACTED stranger controversy know film touches taboo oldboy	14	controversy_1	film_1	Empty	Empty	Empty	Empty	is_AUX	no_DET	stranger_NOUN	to_ADP
validation	Instead legitimately dying REDACTED vampire yearning sustenance blood gives fight infectious disease returns causing symptoms flat lined begin bumps sores body vomits blood	5	blood_2	yearning_1	Empty	of_ADP	legitimately_ADV	dying_VERB	becomes_VERB	a_DET	vampire_NOUN	always_ADV
validation	Sunlight known vampire genre causes torturous death exposed REDACTED length time	5	Sunlight_1	vampire_1	death_NOUN	if_SCONJ	exposed_VERB	to_AUX	for_ADP	a_DET	length_NOUN	of_ADP
validation	REDACTED created monster	5	monster_2	 _1	Empty	Empty	doing_VERB	so_ADV	has_AUX	created_VERB	a_DET	monster_NOUN
validation	REDACTED throws concept completely window shows directly wants wants pretty think	14	concept_1	window_1	Empty	Empty	Empty	Empty	throws_VERB	that_DET	concept_NOUN	completely_ADV
validation	Leaving actors dialog create subtlety stylistic perspective REDACTED willing point	4	actors_1	dialog_1	from_ADP	a_DET	stylistic_ADJ	perspective_NOUN	seems_VERB	willing_ADJ	to_PART	do_VERB
validation	REDACTED adds needed humour film realised final movie	9	humour_1	film_1	Empty	Empty	Empty	Empty	adds_VERB	some_DET	much_ADJ	needed_VERB
validation	Thirst original entertaining fortunately little weird REDACTED earlier endeavors	16	endeavors_2	Thirst_1	little_ADV	less_ADV	weird_ADJ	than_SCONJ	earlier_ADJ	endeavors_NOUN	Empty	Empty
validation	REDACTED hand guy	14	hand_1	guy_1	Empty	Empty	Empty	Empty	you_PRON	have_VERB	to_PART	hand_VERB
validation	Co star REDACTED HBOs Carnivale great played captain Coast Guards Kodiak Alaska base strong convincing role leader prerequisite necessary ice water veins	12	star_1	captain_1	Empty	Empty	Empty	star_NOUN	HBOs_PROPN	Carnivale_PROPN	great_ADJ	to_PART
validation	s terribly weepy insipid story characters point implications forth religion early REDACTED example seen healer sorts rose dead thanks vampirism knows good vs evil push plane cinematically	4	story_1	characters_1	from_ADP	religion_NOUN	early_ADV	on_ADP	for_ADP	example_NOUN	is_AUX	seen_VERB
validation	Korean cinema ability turn genres head latest celebrated director REDACTED tale good pious priest vampire	14	cinema_1	ability_1	by_ADP	the_DET	celebrated_ADJ	director_NOUN	is_AUX	a_DET	tale_NOUN	of_ADP
testing	mentor time played perfectly REDACTED ordinary man common everyday problems lives extraordinary conviction save lives	13	mentor_1	time_1	is_AUX	played_VERB	perfectly_ADV	by_ADP	An_DET	ordinary_ADJ	man_NOUN	with_ADP
testing	scenes local love interest tad stiff generate heat melt butter compliments REDACTED	7	scenes_1	love_1	melt_VERB	butter_NOUN	he_PRON	compliments_VERB	well_ADV	Empty	Empty	Empty
testing	disagree REDACTED animated short	14	disagree_1	 _1	have_VERB	to_PART	disagree_VERB	with_ADP	on_ADP	this_DET	animated_ADJ	short_ADJ
testing	Director REDACTED offers endless laughters means absurd unexpected demonstrative humour	12	laughters_1	humour_1	Empty	Empty	Empty	Empty	offers_VERB	endless_ADJ	laughters_NOUN	by_ADP
testing	death REDACTED Fascinating study changing image	15	death_1	study_1	be_AUX	the_DET	death_NOUN	of_ADP	Fascinating_ADJ	study_NOUN	on_ADP	changing_VERB
testing	REDACTED beautiful uses talents film	5	talents_1	film_1	Empty	Empty	Empty	Empty	is_AUX	beautiful_ADJ	and_CCONJ	uses_VERB
testing	Fun entertaining movie WWII German spy REDACTED	13	Fun_1	movie_1	about_ADP	WWII_PROPN	German_ADJ	spy_NOUN	Empty	Empty	Empty	Empty
testing	double saw REDACTED	11	double_1	saw_1	I_PRON	saw_VERB	that_PRON	was_AUX	there_ADV	Empty	Empty	Empty
testing	overall great film truly outstanding performance REDACTED	9	film_1	performance_1	truly_ADV	outstanding_ADJ	performance_NOUN	by_ADP	Empty	Empty	Empty	Empty
testing	course possible REDACTED written wonderful play	21	course_1	play_1	have_AUX	been_AUX	possible_ADJ	if_SCONJ	had_AUX	not_PART	written_VERB	his_PRON
training	Gerard late REDACTED bitch slapping hippy drifters sexual insecurities going molesting women committing petty crimes	14	bitch_1	drifters_1	Empty	and_CCONJ	the_DET	late_ADJ	are_AUX	two_NUM	bitch_NOUN	slapping_VERB
training	NX Enterprise perfect vessel beginnings people come love REDACTED superior Captain Jonathan Archer	12	vessel_1	beginnings_1	have_AUX	come_VERB	to_PART	love_VERB	was_AUX	just_ADV	superior_ADJ	as_ADP
training	NX Enterprise perfect vessel beginnings people come love Scott Bakula superior REDACTED	23	vessel_1	beginnings_1	was_AUX	just_ADV	superior_ADJ	as_SCONJ	Empty	Empty	Empty	Empty
training	love happiness radiate home thanks guy REDACTED works	12	happiness_1	thanks_1	thanks_NOUN	to_ADP	the_DET	guy_NOUN	works_VERB	for_ADP	Empty	Empty
training	Lead actress REDACTED titular Candy gives finest performance career spanning drive epics	14	Lead_1	actress_1	Empty	Empty	Empty	actress_NOUN	as_SCONJ	the_DET	titular_ADJ	Candy_PROPN
training	REDACTED real jerk	14	jerk_2	 _1	Empty	Empty	Empty	Empty	though_SCONJ	he_PRON	was_AUX	a_DET
training	lovely young REDACTED automatically start decide rating	13	rating_2	lovely_1	Empty	the_DET	lovely_ADJ	young_ADJ	should_AUX	automatically_ADV	start_VERB	you_PRON
training	strange role REDACTED height career	12	role_1	height_1	Empty	strange_ADJ	role_NOUN	for_ADP	to_PART	take_VERB	at_ADP	the_DET
training	excellent period murder melodrama Fontaine effectively playing earlier naive wallflower type role reportedly REDACTED turned	18	period_1	murder_1	a_DET	role_NOUN	that_PRON	reportedly_ADV	turned_VERB	down_ADP	Empty	Empty
training	REDACTED wife brutish public servant mother children	11	wife_1	mother_1	Empty	Empty	Empty	is_AUX	who_PRON	is_AUX	the_DET	wife_NOUN
training	saying ve got movie REDACTED guarantee folks screen writer director James Cox delivers oh	11	movie_1	guarantee_1	got_VERB	a_DET	movie_NOUN	about_ADP	is_AUX	a_DET	guarantee_NOUN	to_PART
training	saying ve got movie John Holmes guarantee folks screen writer director REDACTED delivers oh	9	movie_1	folks_1	screen_NOUN	but_CCONJ	writer_NOUN	director_NOUN	delivers_VERB	oh_INTJ	so_ADV	much_ADV
training	Prior seeing REDACTED impression silent comedy essentially slapstick slapstick	11	impression_1	comedy_1	Empty	Empty	to_ADP	seeing_VERB	my_PRON	impression_NOUN	of_ADP	silent_ADJ
training	great plot comes novel REDACTED adapted story screen	10	plot_1	novel_1	from_ADP	the_DET	novel_NOUN	by_ADP	who_PRON	also_ADV	adapted_VERB	this_DET
training	Taking place high school shooting characters Alicia REDACTED Deanna Erika Christensen form unlikely bond	13	place_1	school_1	shooting_VERB	two_NUM	characters_NOUN	Alicia_PROPN	and_CCONJ	Deanna_PROPN	Erika_PROPN	Christensen_PROPN
training	Taking place high school shooting characters Alicia Busy Philipps Deanna REDACTED form unlikely bond	17	place_1	school_1	Busy_ADJ	Philipps_PROPN	and_CCONJ	Deanna_PROPN	form_NOUN	an_DET	unlikely_ADJ	bond_NOUN
training	Catch manic drum break REDACTED frenetic hammering matched recording	11	drum_1	break_1	manic_ADJ	drum_NOUN	break_NOUN	by_ADP	his_PRON	frenetic_ADJ	hammering_NOUN	never_ADV
training	REDACTED	12	Empty_0	Empty_0	Empty	Empty	Empty	by_ADP	Empty	Empty	Empty	Empty
training	ve seen REDACTED convincing performance Jeremy Northam perfect Mr Knightley meet man	15	performance_1	meet_1	Empty	ve_AUX	never_ADV	seen_VERB	in_ADP	a_DET	more_ADV	convincing_ADJ
training	ve seen Gwyneth Paltrow convincing performance REDACTED perfect Mr Knightley meet man	14	performance_1	meet_1	more_ADV	convincing_ADJ	performance_NOUN	and_CCONJ	is_AUX	the_DET	perfect_ADJ	Mr_PROPN
training	Excellent documentary ostensibly friendship subsequent rivalry West Coast retro rocknroll bands REDACTED Brian Jonestown Massacre	13	documentary_1	rivalry_1	retro_NOUN	rocknroll_NOUN	bands_NOUN	The_DET	and_CCONJ	the_DET	Brian_PROPN	Jonestown_PROPN
training	probably film simply catch glimpse young good looking REDACTED starring roles	14	glimpse_1	roles_1	of_ADP	young_ADJ	good_ADJ	looking_VERB	in_ADP	one_NUM	of_ADP	his_PRON
training	Woman Black TV adaptation REDACTEDs modern classic ghost story published years earlier film	10	adaptation_1	ghost_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
training	reports REDACTED proves weird person scarcely beautiful	10	person_2	reports_1	Empty	Empty	all_DET	reports_NOUN	proves_VERB	a_DET	weird_ADJ	person_NOUN
training	expectations d heard REDACTED knew film strong character actors	10	expectations_1	film_1	d_AUX	never_ADV	heard_VERB	of_ADP	all_PRON	I_PRON	knew_VERB	was_AUX
training	sketch brought house pub wearing flat caps mufflers fantasising movie stars REDACTED Greta Garbo	12	house_1	pub_1	movie_NOUN	stars_NOUN	such_ADJ	as_ADP	and_CCONJ	Greta_PROPN	Garbo_PROPN	Empty
training	sketch brought house pub wearing flat caps mufflers fantasising movie stars Jane Russell REDACTED	11	house_1	pub_1	as_ADP	Jane_PROPN	Russell_PROPN	and_CCONJ	Empty	Empty	Empty	Empty
training	REDACTED Conchata Ferrell better widow year old daughter Jerrine Megan Folsom living Denver wants opportunities	15	widow_1	year_1	Empty	Empty	Empty	Empty	Conchata_PROPN	Ferrell_PROPN	who_PRON	has_AUX
training	Elinore Randall Conchata Ferrell better widow year old daughter Jerrine REDACTED living Denver wants opportunities	12	widow_1	year_1	year_NOUN	old_ADJ	daughter_NOUN	Jerrine_PROPN	is_AUX	living_VERB	in_ADP	Denver_PROPN
training	Denzel Washington best REDACTED Christopher Walken good great Radtha Mitchell AMAZING young Dakota Fanning	13	Denzel_1	Washington_1	is_AUX	at_ADP	his_PRON	best_ADJ	and_CCONJ	Christopher_PROPN	Walken_PROPN	good_ADJ
training	Sadly Simple Rules dating teenage daughter sitcom REDACTED got work tragic death	11	Rules_1	daughter_1	the_DET	last_ADJ	sitcom_NOUN	that_PRON	got_VERB	to_PART	work_VERB	on_ADP
training	considered REDACTED great contemporary artists	16	artists_2	considered_1	Empty	Empty	Empty	considered_VERB	one_NUM	of_ADP	the_DET	great_ADJ
training	pulled hand held camera perfectly reminds April th REDACTED Dylan Klebold murdered students	11	hand_1	camera_1	of_ADP	April_PROPN	th_NOUN	when_SCONJ	and_CCONJ	Dylan_PROPN	Klebold_PROPN	murdered_VERB
training	pulled hand held camera perfectly reminds April th Eric Harris REDACTED murdered students	13	hand_1	camera_1	when_SCONJ	Eric_PROPN	Harris_PROPN	and_CCONJ	murdered_VERB	students_NOUN	and_CCONJ	then_ADV
training	REDACTED remained prestigious horror films	11	horror_1	films_1	Empty	Empty	Empty	Empty	remained_VERB	but_CCONJ	his_PRON	prestigious_ADJ
training	gritty movie opinion REDACTEDs better movies performance	12	movie_1	opinion_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
training	bunch popular high school students play cruel joke nerdy Marty sympathetic performance REDACTED leaves hideously disfigured	16	school_1	students_1	a_DET	sympathetic_ADJ	performance_NOUN	by_ADP	which_PRON	leaves_VERB	him_PRON	hideously_ADV
training	beatiful REDACTED American Pie major movie role	17	movie_1	role_1	Empty	Empty	Empty	beatiful_ADJ	American_PROPN	Pie_PROPN	did_VERB	her_PRON
training	think main message REDACTEDs newest film Reign brings	11	message_1	film_1	Empty	Empty	Empty	Empty	Empty	Empty	Empty	Empty
training	movie starts South Africa REDACTED works barrister fighting cause Indias freedom British	14	movie_1	works_1	in_ADP	South_PROPN	Africa_PROPN	where_SCONJ	works_VERB	as_ADP	a_DET	barrister_NOUN
training	Jessica Napier surperb performance REDACTED definate bright future acting	11	performance_1	acting_1	a_DET	surperb_NOUN	performance_NOUN	and_CCONJ	has_VERB	a_DET	definate_ADJ	bright_ADJ
training	battle cold blooded titans truly classic footage REDACTED incredible camera work won Best Documentary Oscar	9	battle_1	titans_1	is_AUX	truly_ADV	classic_ADJ	footage_NOUN	has_AUX	done_VERB	some_DET	incredible_ADJ
training	REDACTED greater director century Maybe hi intellectual lot Big Directors	8	director_1	century_1	Empty	Empty	Empty	Empty	greater_ADJ	director_NOUN	of_ADP	the_DET
training	displays amazing acting abilities REDACTED Oprah Winfrey Danny Glover	15	abilities_2	displays_1	amazing_ADJ	acting_VERB	abilities_NOUN	of_ADP	Oprah_PROPN	Winfrey_PROPN	and_CCONJ	Danny_PROPN
training	displays amazing acting abilities Whoopi Goldberg REDACTED Danny Glover	13	abilities_2	displays_1	abilities_NOUN	of_ADP	Whoopi_PROPN	Goldberg_PROPN	and_CCONJ	Danny_PROPN	Glover_PROPN	Empty
training	displays amazing acting abilities Whoopi Goldberg Oprah Winfrey REDACTED	12	abilities_2	displays_1	Goldberg_PROPN	Oprah_PROPN	Winfrey_PROPN	and_CCONJ	Empty	Empty	Empty	Empty
training	Gino Costa REDACTED young handsome drifter arrives road bar	15	drifter_1	road_1	Empty	Empty	Empty	Costa_PROPN	is_AUX	a_DET	young_ADJ	and_CCONJ
training	like REDACTED Kevin bumbling male lead	13	lead_2	like_1	Empty	Empty	also_ADV	like_INTJ	as_ADP	Kevin_PROPN	the_DET	rather_ADV
training	Scrooge REDACTED decides money rents family lives thought family	11	family_2	money_1	Empty	Empty	Scrooge_PROPN	is_AUX	who_PRON	decides_VERB	money_NOUN	is_AUX
training	REDACTED ONeill Hollywood native resident	12	resident_2	 _1	Empty	Empty	Empty	Empty	ONeill_PROPN	Hollywood_PROPN	native_ADJ	and_CCONJ
validation	Unfortunately REDACTED character Pete Garrison think HEs mole	15	character_1	mole_1	Empty	Empty	Empty	for_ADP	character_NOUN	Pete_PROPN	Garrison_PROPN	they_PRON
validation	Unfortunately Michael Douglas character REDACTED think HEs mole	13	mole_2	Unfortunately_1	for_SCONJ	Michael_PROPN	Douglas_PROPN	character_NOUN	they_PRON	think_VERB	HEs_VERB	the_DET
validation	REDACTED fans	9	fans_2	 _1	Empty	Empty	Empty	Empty	fans_NOUN	MUST_AUX	see_VERB	this_PRON
validation	story REDACTED battle cancer Dan Jansen love sister	12	story_1	battle_1	Empty	Empty	story_NOUN	of_ADP	battle_NOUN	with_ADP	cancer_NOUN	and_CCONJ
validation	story Jane Jansens battle cancer REDACTED love sister	10	story_1	battle_1	battle_NOUN	with_ADP	cancer_NOUN	and_CCONJ	love_NOUN	for_ADP	his_PRON	sister_NOUN
validation	resembles REDACTED film set sci fi genre cutting slack similarities despite released year	12	film_1	fi_1	it_PRON	resembles_VERB	the_DET	first_ADJ	film_NOUN	only_ADV	set_VERB	in_ADP
validation	Ledger plays REDACTED dignity intensity showing highly spirited boy Australias notorious killer	9	dignity_1	intensity_1	Empty	Empty	Empty	plays_VERB	with_ADP	dignity_NOUN	and_CCONJ	intensity_NOUN
validation	use mirrors enhance revelations characters lovely mention beauty magnificence REDACTED Mastroianni	12	mirrors_1	revelations_1	beauty_NOUN	and_CCONJ	magnificence_NOUN	of_ADP	and_CCONJ	Mastroianni_PROPN	Empty	Empty
validation	hardcore stars REDACTED Venus	16	stars_2	hardcore_1	hardcore_ADJ	stars_NOUN	in_ADP	it_PRON	and_CCONJ	Venus_PROPN	Empty	Empty
validation	biggest surprise movie performance REDACTED	12	surprise_1	movie_1	was_AUX	the_DET	performance_NOUN	of_ADP	Empty	Empty	Empty	Empty
