github	type	name	context
SarahBrown	training	Marion Davies	"█████████████ plays a girl that leaves its friends in a little comedy studio to be part of a larger ""drama"" studio."
SarahBrown	training	Picasso	███████ was a finer draftsman and a brilliant artist at that age than many artists will ever become in a lifetime.
SarahBrown	training	Ruben Santiago-Hudson	LACKAWANNA BLUES is an entertaining, engrossing, emotionally-charged HBO-TV movie based on the childhood memories of actor █████████████████████ (who also appears in a small role).
SarahBrown	validation	"Rachel ""Nanny"""	This joyous motion picture experience is centered around Santiago-Hudson's childhood guardian, ██████████████ Crosby, a strong, big-hearted black woman who ran a boarding house in upstate New York during the 1950's.
SarahBrown	testing	an Emmy Award	Merkeson is nothing short of magnificent, in a performance that earned her a Golden Globe and █████████████.
SarahBrown	training	S. Epatha Merkeson	Colorful and exciting, beautifully photographed and exquisitely scored, this is one of a kind motion picture experience that works on all levels, but if for no other reason, is worth seeing for the electrifying starring performance by ██████████████████, who is given the role of a lifetime and makes the most of it.
SarahBrown	training	Thomas Kinkade	"Recently I was pondering a statement made by the artist ██████████████ in one of his inspirational books; He states: ""You and I were not designed to breathe the fetid air of five o'clock traffic."
SarahBrown	validation	Kinkade	"Nor do I think God had banal television programs, media hype, worthless purchases, and soul pollution in mind when he created the universe..."" I hadn't seen ""A river runs through it"" in a couple of years, but after pondering ███████'s statement something drew me to watch the film with a spiritual eye."
SarahBrown	training	Tsui Hark	But alas, █████████ hasn't improved much in the writing department, and the story and dialog are rather juvenile (his apparent obsession with the silly and overly-long depiction of the evil guys didn't help either).
SarahBrown	training	John Scott Shepard	The first episode, which is going to sound a bit stupid since ██████████████████ has created this situation - both the sister and mother gets pregnant.
SarahBrown	training	Silent Hill	I've played Resident Evil, ███████████ and the Evil Dead and Castlevania games but none of them have captured the pure glee with which this game tackles its horrific elements.
SarahBrown	validation	Barker	██████ is good at what he does, which is attach the horror to our world, and it shows as his hand is clearly everywhere in this game.
SarahBrown	training	Brosnan	███████ takes an excellent script to another level with his marvelous facial gestures and physical movements.
SarahBrown	training	Shahid Kapur -	She has most of the good scenes - although i thought the last half hour was completely to ██████████████ who for a change gives an awesomely restrained performance.
SarahBrown	validation	Maine Pyar Kiya	Sooraj sir has got another nice family film to his credit after ███████████████, HAHK & Hum Saath Saath Hain.
SarahBrown	testing	AMRITA RAO	it seems ██████████ - our actress-from-Vivah {Result for a nice performance} has been bestowed the prestigious DADSAHEB PHALKE award for 2006 !!
SarahBrown	training	Chawla	They make a cute couple and their on-screen chemistry reminds me of {SRK-Kajol} or {Aamir Khan & Juhi ██████} .................
SarahBrown	validation	Amrita Rao	 Some points that I observed,few of the elements :- #1 If u notice carefully, ██████████ looks so good because shes always wearing traditional dresses.
SarahBrown	testing	Anupam Kher	but PREM listens carefully to the step-wise talk given by his DAD - having full faith in ███████████.
SarahBrown	training	Fanaa	IN FACT - i think Vivah does deserve better viewing/business than Dhoom2 or █████ or Golmaal or all those time-pass/fuzzy/style/crap movies !!
SarahBrown	training	Ned Kelly	I watched this on the movies with my girlfriend at the time and I can say that I didn't have the best time mainly because I didn't know about █████████ or his story.
SarahBrown	validation	Ned Kelly	But the way █████████ is portrayed as a hero and a fighter for justice really makes me want to believe everything is true.
SarahBrown	training	Gundam	If you liked 0083 then check this one out, or if you are new to the ██████ world, this is a good show to start with.
SarahBrown	training	Kelly	"Those who know who know the █████ ""legend"" & are hoping that this film would be an accurate depiction of his life may be disappointed with the creative license taken with this film (eg."
SarahBrown	validation	Naomi Watt's	████████████ character never existed in reality), but if you look at it purely as a piece of entertainment, it holds up pretty well.
SarahBrown	testing	Bacchus Marsh	Some location shooting film in the area I live, █████████████ outside Melbourne as well as Clunes & Ballarat.
SarahBrown	training	Paul	Never mind that someone else may get ████'s file later to supervise his release; for the moment they are free!
SarahBrown	training	Eve Arden	One minor disappointment is █████████ trapped in a role so minor that she barely has a chance to do anything.
SarahBrown	training	Max Von Sydow	The narrator (█████████████) takes you through a spellbounding journey every step of the way and engrosses you into Europa 1945.
SarahBrown	training	John 'Drew' Barrymore	█████████████████████ steals the show as the younger, impressionable brother-Barrymore shows signs here that he could have been an acting powerhouse.
SarahBrown	training	Julie Andrews	As █████████████ is my most favorite actress and singer by far, I was most definatly not surprised by how stunning she is.
SarahBrown	validation	Blake Edwards	This movie is just...great (I'm running out of adjectives!), it's magnificent, marvellous, amazing, funny, terribly romantic, sad, and just an all-out thrill and its all thanks to Dame Julie Andrews!And to her husband, director █████████████.
SarahBrown	testing	Lili	There meeting was planned by the German Government (I'm not sure if that's exactly what you'd call them, but you get the point), because the warm, happy, singing entertainer ████ is actually a German Spy.
SarahBrown	training	Horace Greeley	"As the Civil War closes, Lincoln mentions his concern that the country's dynamism would be enhanced if people would follow the advice, ""Go West, young man,"" which, mercifully, the film didn't erroneously attribute to ██████████████, as a number of others did."
SarahBrown	validation	Wild Bill Hickock	In the meantime, we see █████████████████, who interacts with a small boy, while a steamboat is loading at a dock along the Mississippi.
SarahBrown	testing	Hickock	███████ eventually meets Buffalo Bill Cody, who looks close to the photographs and paintings of the actual man.
SarahBrown	training	Hickock	As they're waiting for authorities, ███████ is gunned down by being shot in the back while playing cards.
SarahBrown	training	Hank	But in this one, the expression in his eyes throughout, as ████ considered the things that were happening to him, was wonderful and tender.
SarahBrown	training	Private Benjamin	Like her lightest fare: Protocol, Overboard, Housesitter, Wildcats, ████████████████, Seems Like Old Times, Foul Play, Death Becomes Her, First Wives Club and the remake of Out-of-Towners, GOLDIE knows what she is doing...she plays every role for the camp that you can get out of it!
SarahBrown	training	Ella Enchanted	 In case you don't want to read further down the page (there aren't any spoilers), I'll sum it up here: It's more mature than ██████████████ (there are some questionably violent parts, plenty of death, and a handful of scenes with a little blood, not for small children), but doesn't try to be overly corny or overstep its bounds.
SarahBrown	validation	Bourne Ultimatum	By the end here (August), I was tired enough of fractured expectations from the big hits that I averted seeing ████████████████ in favor of Stardust.
SarahBrown	testing	Stardust	Having had my hopes thoroughly muddied by Transformers for my Fiction addiction, the previews of ████████ seemed appealing, but I was certainly wary.
SarahBrown	training	Stardust	████████ didn't have me bolted to my seat because of jam-packed action at every turn, nor was I sweating bullets because of plot-hook after plot-hook threatening to tear the dramatic tension apart and echo throughout the theater in a loud boom.
SarahBrown	validation	Princess Bride	It's probably not for everyone, but do yourself a favor; If you enjoy fantasy films that stand the test of time alone (██████████████, Black Cauldron, The Dark Crystal, etc.)
SarahBrown	training	Preston	The Sundowners is a tightly-paced, gritty, and surprisingly tough little picture with a great performance by ███████.
SarahBrown	validation	Shane	Here, he comes across as an evil version of █████, that is until the real nature of the rancher and the outlaw's relationship is revealed.
SarahBrown	training	YOKAI DAISENSO	██████████████ takes things even further in the direction of family-friendliness, diluting the darkness and cynicism to create a grand fantasy fairy tale.
SarahBrown	validation	Miike	The film is evidently bigger budget than anything else █████ has done, with lots of CGI to create fantasy world populated by odd creatures (the YOKAI).
SarahBrown	testing	Miike	Those looking for another violent, perverted gangster film aren't going to find what they're looking for in YOKAI, but if you're a fan of █████ because of his imagination and wit, there's plenty to satisfy here.
SarahBrown	training	Afrika Bambaata	"It should be noted this film was shot in the birthplace of breakdancing (""This ain't New York, this is the Bronx!""), and features appearances by the fathers of breakdancing, dance troupe Rock Steady Crew and rapper ███████████████."
SarahBrown	training	Andrews	"Also it has ███████ doing a strip-tease (strictly PG material) and singing a beautiful song--""Whistling in the Dark""."
SarahBrown	training	Kimberly Elise's	I enjoyed ████████████████ performance, she certainly a beautiful actress and seems to take her craft seriously.
SarahBrown	training	Jimmy Stewart	This is such a fantastic movie, a Western about a self-concerned man (█████████████) going up to the Klondike for gold.
SarahBrown	validation	John McIntire	On the way, he gets hassled by a local sheriff in Alaska (█████████████, giving a wonderfully evil performance), whom he hassles back.
SarahBrown	testing	McIntire	████████ threatens that he'll be a dead man if he ever comes back through his town, which is, unfortunately, the only way back to the States.
SarahBrown	training	McIntire	The main chunk of the story is about the peaceful Klondike town of Dawson being turned upside down by new residents from ████████'s town.
SarahBrown	validation	Stewart	███████ gives one of his best performances (nearly equal to his biggest success of 1954, Rear Window).
SarahBrown	testing	Stewart	His relationship with ███████ is very touching, since he is, at first, the only character who is able to bring out any humanity in the cynical man.
SarahBrown	training	Rusty	The movie has two questions that █████ must answer: Is fame all that it is cracked up to be? and Is less really more if you are happy?
SarahBrown	training	Lucy	Had there been more time, had the story been more about ████'s entire life, then maybe the kids woulda been there more.
SarahBrown	validation	Lucy	Wow, that was one thing about this story that I thought was really cool: his presence and influence in ████'s life.
SarahBrown	training	Darth Vader	I love when a movie ends on a terrific dark nature but this time I was impressed with ███████████ turning against the Emperor I really stayed astonished.
SarahBrown	validation	Luke	The anguishing sequence in that film was when ████ is tortured and defeated by the Emperor/Darth Sidious.
SarahBrown	testing	Darth Vader V.s Luke Skywalker	I personally like the script and the battle of Endor presenting a ground and space combat as well the best duel of Star Wars between ██████████████████████████████ on the Death Star.
SarahBrown	training	ROTJ	"Often derided for its overly 'cute' factor, ████ is in a sense as strong as the original and only slightly less impressive than the nearly perfect ""The Empire Strikes Back""."
SarahBrown	validation	Lucas	█████' CGI enhancements to the film in 1997 actually worsened the overall effect of the Sarlac, making it look fake and overdone.
SarahBrown	testing	Darth Vader	His journey carries the movie as he moves closer to his confrontation with ███████████ and his fate.
SarahBrown	training	Leia	In fact only ████'s character is developed in ROTJ, Solo's character seems to fade as the facets of his personality have become too familiar in the first two films.
SarahBrown	validation	Skywalker	The Empire intends to crush the Rebellion once and for all, while the Emperor himself schemes to bring the now powerful █████████ to his side to work alongside (or is that replace?)
SarahBrown	testing	John Williams'	"Just as the 'Blue Danube' worked perfectly for ""2001: A Space Odyssey"", ██████████████ score is as much a part of ""Star Wars"" folklore as light sabers and the Force."
SarahBrown	training	Shemp	It is not only one of the best Stooges films with █████, it is one of the finest short comedies Columbia produced.
SarahBrown	validation	Moe	Other funny scenes: the close-up of ███'s mug looking through the camera lens; and the in-the-dark fight with all cast members involved.
SarahBrown	testing	Duke York	Nikko the goon (played by █████████) is one of the most unusual looking characters ever portrayed in a Stooges film.
SarahBrown	training	Neil Gaiman	Turns out, it wasn't Transformers and I had been aware of it way back when as 'that ███████████ movie'.
SarahBrown	validation	Gaiman	But ██████'s story draws you in with its surface familiarity only to subvert it all into a sweetly original tale of a boy and his heart.
SarahBrown	training	gore	Although the movie doesn't have much ████, it is entertaining, and for some reason you kind of care about the characters.
SarahBrown	training	Sunny Davis	It's an interesting adventure with the life of ███████████, who is arranged to marry the king of Ohtar, so that the U.S. can get an army base there to balance power in the Middle East.
SarahBrown	training	Kris Kringle	Complications ensue when a deranged murderous madman dressed up as jolly ████████████ escapes from a nearby asylum and decides to pay Trainor a decidedly unfriendly visit.
SarahBrown	training	Michael Pollard	███████████████ looks suitably seedy for his role which pretty much sums up the unfulfilled early promise of his career, and everyone else plays it pretty straight ahead.
SarahBrown	training	James Stewart	█████████████ here is again a man fighting within himself, one side of him does not want to get involved and help people who stand in the way of him making money, and the other side just is not able to look away from people being murdered.
SarahBrown	validation	Mann	████ is excellent directing the shootouts, but the high point of the film is how well he does in the outdoor scenes.
SarahBrown	testing	Stewart	Like all of the Mann-Stewarts, this is a traditional western, with a difference in the elaboration of ███████'s character which is more complex.
SarahBrown	training	Ben Gazzara	He shoots her in loving close-ups, gets right in the sheets between her and a wonderfully hard-boiled/soft-boiled ███████████, and allows her room to sparkle throughout.
SarahBrown	validation	John Ritter's	The love-connections made in the course of the film are fast and amusing, though I did tire of █████████████ TV-styled klutziness.
SarahBrown	training	Shakespeare	Quintessentially British for upholding British heritage (███████████, beer, fair play, good manners), it is also visibly Americanised in its baroque compositions, technical inventiveness and a fine multi-ethnic cast.
SarahBrown	validation	Peter	Resigned to dying, █████ nevertheless exhausts plenty of vigour, charm and outpouring confessions, and his warm affiliation with June closes with a mutual exchange of 'I love you.'
SarahBrown	testing	Peter	 Keeping with the magic of the moment, █████, by oversight of his Conductor 71 whose job it was to transport him to the 'Other World,' escapes death and finds himself stranded on a beach.
SarahBrown	training	Peter	But █████ is adamant to live because of June and the Conductor's mistake, and wilfully guards his corner.
SarahBrown	validation	Peter	The unlikely affection shared between █████ and June never turns mushy or verbose; it's treated with nobility and the perception that the couple are already suitable enough to be married and simply need to convince people of their love, so it can keep them together.
SarahBrown	testing	Peter	 The French Conductor, who can freeze time and people's bodies, obtrudes many of their key moments together, lecturing █████ about history and among his mischievous tricks, pinching Peter's 'Top 100 Game Tricks' book and his coffee cup.
SarahBrown	training	lau kar leung	sammo takes on █████████████ in a casino, sammo loses the fight but what a fight it is full of high tempo action and elements of comedy thrown in.
SarahBrown	validation	lam ching ying	some great and touching moments in the film, ██████████████ pops up in a cameo and gets killed off - gutted.
SarahBrown	training	Greg Kinnear's	██████████████ character seems quite the same in his detached scriptedness, but he's given certain very unexpected footnotes that for a moment due to the film's lightfootedness pass us by but then hit us only a moment later.
SarahBrown	training	Saura	█████ encompasses all Spaniards on his stage from the beautiful elegance of elderly flamenco dancers in traditional costume to children joyously dancing with their instructors.
SarahBrown	training	Deanna	I only wish the filmmakers had explored the issues around anti-depressant drugs more - the kids from Columnbine who did the shootings were on them for years and it was frightening to watch the way ██████ popped them every time the nightmares started.
SarahBrown	training	Iwerks	That was the birth of Celebrity Productions, where ██████ continued developing his style and technique (and where he created the character of Flip the Frog).
SarahBrown	validation	Iwerks	The bright tonalities allowed ██████ to create a more visually appealing film, and also to use the many new techniques he had been practicing since leaving Disney, creating even better effects of depth and dynamism than those he conceived before.
SarahBrown	testing	Iwerk	Being a musical film, this is of high importance, and so the mediocrity of the music brings down █████'s flawless work of animation.
SarahBrown	training	Iwerk	"Despite its shortcomings, ""Skeleton Frolics"" is a very funny and visually breathtaking film, that while not exactly the most original and fresh film (one just can't help but thinking of ""The Skeleton Dance"" while watching it), it definitely reminds us that █████'s skeletons are still here to haunt us, and inspire us."
SarahBrown	training	Von Trier	As Utopian as it seems, I do believe people like █████████ could help society in many ways in a broader aspect.
SarahBrown	training	Alvin Sanders	"But █████████████, the man who the feds have ""volunteered"" to be implanted with the device, is a very likable person and it turns out to be a lot of fun getting in his head with him for a little while."
SarahBrown	validation	Alvin	█████ even eventually proves himself to be much more than a good-humored but passive or one-dimensional character when he shows that he is not nearly as easily manipulated as he may seem.
SarahBrown	training	Harry Beaumont	Dance, Fools, Dance -- one of *four* films that ██████████████ directed in 1931 -- is barely 80 minutes long, yet its characters are well developed, its story never seems rushed, and despite its many twists in plot, the audience is never left behind.
SarahBrown	validation	Crawford	Made when she was just 27, this lesser-known version of ████████ will probably be unrecognizable to those more familiar with her later work.
SarahBrown	training	Tatooine	First we are back on the desert planet ████████, and then we are watching them face ANOTHER death star (maybe the emperor couldn't think of anything new...
SarahBrown	validation	Lando	"█████, an interesting character introduced in ""Empire"", here is stuck as the ostensible person we care about in the giant space battle."
SarahBrown	testing	Lucas	But on its own, it is a satisfying piece of entertainment and IMHO far superior to any of █████' later productions.
SarahBrown	training	Judd Nelson's	It was worth the rental and probably worth buying just to get that nice eerie feeling and watch █████████████ Stanley doing what he does best.
SarahBrown	training	Jean Eustache	"In what could have been seen as a coup towards the sexual ""revolution"" (purposefully I use quotations for that word), █████████████ wrote and directed The Mother and the Whore as a poetic, damning critique of those who can't seem to get enough love."
SarahBrown	validation	this Ben-Hur	and I'd hope that the message would come only after the fact of what else ████████████ length feature has to offer- it's that in order to love, honestly, there has to be some level of happiness, of real truth.
SarahBrown	testing	Whore	 The Mother and the █████'s strengths as far as having the theme is expressing this dread beneath the promiscuity, the lack of monogamy, while also stimulating the intellect in the talkiest talk you've ever seen in a movie.
SarahBrown	training	Alexandre	At the same time we see a character like █████████, who probably loves to hear himself talk whether it's about some movie he saw or something bad from his past, Eustache makes it so that the film itself isn't pretentious- though it could appear to be-
SarahBrown	validation	Eustache	But as ████████ revels in the dialogs these characters have, sometimes trivial, or 'deep', or sexual, or frank, or occasionally extremely (or in a subdued manner) emotional, it's never, ever uninteresting or boring.
SarahBrown	testing	Jim Jarmusch	This is probably the biggest influence on ████████████, who dedicated his film Broken Flowers to Eustache and has one scene in particular that is lifted completely (and lovingly) in approach from the late Parisian.
SarahBrown	training	Robby Muller's	██████████████ camera captures it all with an understated simplicity that seems accidental, but surely isn't.
SarahBrown	training	Jack Elams	Its right after Kid Wichita kills the sheriff, and goes to ██████████ place trying to goad him into a fight.
SarahBrown	training	Clancy Brown	"Co-star ████████████ (HBO's ""Carnivale"" - great to see him again) played the captain of the Coast Guard's Kodiak, Alaska base in a strong, convincing role as a leader with the prerequisite and necessary ice water in his veins."
SarahBrown	training	Claudio Carvalho	Previous reviewer ████████████████ gave a much better recap of the film's plot details than I could.
SarahBrown	training	pete	they have some really good actors in this thing.. the head coach guy and the player that likes ████ were very good and the plot has already got me
SarahBrown	validation	Jeremy sumpter	but i don't really understand how they'll keep it stretched for a whole season.. there will probably be some big twist tho..i cant wait till Tuesday.. finally ██████████████ who is he?
SarahBrown	training	Chan-wook Park	As he tends to do, ██████████████ keeps you off center with leaps in time and plot and situation that you have to fill in for yourself forcing your involvement in the story and characters.
SarahBrown	validation	Kim	The acting is superb, particularly OK-vin ███, the gorgeous actress in the female lead role who, at 22, shows a range that is remarkable.
SarahBrown	testing	Oldboy	 If you love real art in horror, or are a fan of ██████ - don't wait for the video, see it immediately.
SarahBrown	training	Mel Brooks-	"and the movies based on the series, the humor relies on ███████████style spot gags and silly comments (namely the ""yes it is"" remarks), along with the fact that Nielsen remains very serious despite the nonsense around him."
SarahBrown	training	Christian Petzold	"""Gespenster"" (2005) forms, together with ""Yella"" (2007), and ""Jerichow"" (2008), the Gespenster-trilogy of director █████████████████, doubtless one of the creme-De-la-creme German movie directors of our time."
SarahBrown	validation	Gespenster	"Roughly, ""██████████"" tells the story of a French woman whose daughter had been kidnapped as a 3 years old child while the mother turned around her head for 1 minute in Berlin - and has never been seen ever."
SarahBrown	testing	Marie	As we hear later in the movie, the mother was already a lot of times convinced that she had found her daughter █████.
SarahBrown	training	Nina	After what we have witnessed in the movie, it is an imposition for the watcher that he is let alone as the auteur leaves ████ alone.
SarahBrown	validation	Gespenster	Despite our modern, Aristotelian world, the superstition, conserved in the mythologies of people around the globe that similar people also share parts of their individuality, and that individuality, therefore, is not something erratic, but rather diffusional, so that the borders between persons are open, such and similar believes build a strong backbone of irrational-ism despite our otherwise strongly rational thinking - a source of ██████████ of the most interesting kind.
SarahBrown	training	Weir	I think ████ pushed the dark aspects intentionally for style, but when the movie is converted to the lower color medium of VHS this goes over the edge.
SarahBrown	training	Brosnan	"Mostly that humor comes from ███████ as he tells jokes about dwarfs with big d.... or one of my favorite lines in this movie: ""I look like a Bangkok hooker on a Sunday morning, after the navy's left town."""
SarahBrown	training	Vincent Price's	███████████████ follow-up to HOUSE OF WAX (1953), the film which cemented his reputation as a horror icon, similarly revolves around a bitter  albeit resourceful  showman.
SarahBrown	training	Iris	It may be a bit of a stretch to accept that an ████ would wind up working year after year in a factory, or that a Stanley never hid his illiteracy enough to work in construction or some other better-paying job.
SarahBrown	training	Turturro	"""The Luzhin Defence"" is, in the foreground, a story of an idiosyncratic chess savant (████████) who becomes consumed by the game and, in the background via flashbacks, his boyhood life and the forces which created the man he has become."
SarahBrown	validation	Watson	"Factor in good and evil in the forms of his his love interest (██████) and former ""mentor"" (Wilson) respectively and you have a plaintive drama laced with poignant and delicately humorous moments mingled with the rich scenic beauty of Italy's Lake Como and the intensity of high chess play."
SarahBrown	training	Quincy Jones'	This film captured my heart from the very beginning, when hearing █████████████ first notes or seeing the wonderful color of purple of the flowers in the meadows.
SarahBrown	validation	Spielberg	The whole cast gives the best performance in a film I've seen in years and █████████ has really outdone himself!
SarahBrown	testing	Danny Glover	The always sympathetic, charming ████████████ makes a marvellous job at making people hate him and the magnificent music
SarahBrown	training	Jacques Audiard	Writer/director ███████████████ very cleverly uses the woman's isolating hearing disability as an entrée for us into her perceptions, turning the sound up and down for us to hear as she does (so it's even more annoying than usual when audience members talk), using visuals as sensory reactors as well.
SarahBrown	training	Ekin Cheng	The storyline of the movie was a fairytale between good and evil with a love story thrown in (I guess ██████████ pulls the girls
SarahBrown	training	Nick Mancuso	I watch most movies that ████████████ is in because, frankly, I love the guy, even though as he ages he is typically cast as the baddie (long-time fans should note that he is for some reason blond in this flick).
SarahBrown	validation	Nick	That being said, it was what it was -- a reasonably entertaining way to spend the afternoon -- and I still like ████.
SarahBrown	training	Yuen Biao	(See also Eastern Condors, Shanghai Express (█████████ is Ace!), Dragons Forever and Enter the Fat Dragon.
SarahBrown	training	Nandita Das	The scene where ███████████ loses her virginity to her husband certainly was the first of its kind in Indian cinemas.
SarahBrown	training	Joan	There is nothing else quite like it on television right now either, unless you count ████ of Arcadia as being similar because it has a teen lead character too.
SarahBrown	training	Jack	This is an almost action-less film following ████, an insomniac, as he goes through hallucinations, is visited by dead friends, throws himself off a building, and, for a lot of the time, can't tell reality from hallucination.
SarahBrown	validation	Jack	Introduce a talking dog (another hallucination) and children that suddenly appear in ████'s bathroom and bedroom without any explanation as to how they got there (more hallucination) and you have an interesting, mind boggling, 43 minutes
SarahBrown	training	Ben	They look for a back way out only to find themselves ambushed by Gannon's men because ███ made the mistake of opening his big mouth.
SarahBrown	training	Gene Kelly	██████████ shows off his dancing skills and introduces to musicals his edgy and innovative choreography that eventually would change the way musicals are choreograph.
SarahBrown	training	Carla	There is a mutual physical repulsion at first meeting: █████ had hoped for a well-groomed, genteel man who might fulfill her fantasies and Paul is a coarse, unkempt sleazy guy who is not impressed with being a clerk.
SarahBrown	validation	Audiard	Director ███████ wisely manipulates a factor that is at once sensitive and transformative for the story: he shows us the difference between 'hearing' the world with and without hearing aids and in doing so makes some powerful social comments.
SarahBrown	training	Eloise	When I watch this film a lot of it reminded me of 42nd Street, especially the character ██████ who's a temperamental star and she ends up falling and breaks her ankle, like Bebe Daniels did in 42nd Street and another performer gets the part and become a star.
SarahBrown	validation	Micheaux	There's even white people watching the entertainment, I wonder where ████████ found them, there's even a scene where there's blacks and whites sitting together at the club, Micheaux frequently integrated blacks and whites in his films, he should be commended for such a bold move.
SarahBrown	testing	Moon	There are some entertaining race films with a good acting cast, ████ Over Harlem, Body and Soul, Paradise
SarahBrown	training	Sepia Cinderella	What A Girl, Mystery In Swing, Miracle In Harlem, and ████████████████, that not only has good entertainment but good acting.
SarahBrown	training	Danny Wright	After coming to realization that he has no real friends, no permanent home and no planned future, he stumbles into a Mexican hotel bar one night and runs into ████████████ (Kinnear).
SarahBrown	validation	Danny	█████ is a down-on-his-luck family man who is on the verge of losing the big business deal that just might turn things around for him.
SarahBrown	testing	Brosnan	███████ may be cinema's ultimate charmer, but this is his most endearing and complete performance to date.
SarahBrown	training	Brosnan	And it contains a career-defining role for ███████ as the lonely hit-man looking for normalcy, friendship and a means to do at least one good thing in his life.
SarahBrown	training	Peter Weir	Although I've long been a fan of ██████████, I hadn't watched any of his Australian movies until I watched The Last Wave.
SarahBrown	validation	David	For █████'s peers it's a clear case of drunken disorder and they think they should plead guilty and serve a quick sentence.
SarahBrown	testing	Weir	Out of little events ████ manages to create an atmosphere of dread and oppression, suggesting future horrors without really showing anything.
SarahBrown	training	PJ Soles	I've never been a fan of ████████ and it didn't help to hear that she didn't even know who the Ramones were until she filmed this movie, but I can ignore her snarly little face for the most part.
SarahBrown	training	Tadashi	The only reason I'm giving this a 9 is that the other kid actors who played ███████'s tormentors were not up to the job.
SarahBrown	training	Terry Gilliam	Probably a bit much for normal American kids, and really it's a stretch to call this a kid's film, this movie reminded me a quite a bit of Time Bandits - very █████████████ all the way through.
SarahBrown	validation	Miike	And while the ending does have a bit of an ambiguous aspect that are common of █████'s work, the layers of meaning and metaphor, particularly the anti-war / anti-revenge message of human folly, is pretty damn poignant.
SarahBrown	training	Letyat	"If you believe that any given war movie can make you really feel the war, you need to see ""██████ zhuravli"" (called ""The Cranes are Flying"" in English)."
SarahBrown	validation	Boris	█████, meanwhile, continues trotting through the countryside, fighting the Nazis and experiencing all the horrors of war, until he he runs out of energy.
SarahBrown	testing	Boris	When Veronika - working in a military hospital - receives this news, she refuses to accept it, until █████' body arrives home on one of the trains.
SarahBrown	training	pre-Mussolini Italian	I am now very glad that I did, and would certainly recommend its purchase to anyone else who appreciates a quiet reflective work with no fireworks but with well constructed character development and a very successful █████████████████████ atmosphere.
SarahBrown	validation	Boccaccio	(Perhaps Italy itself has some part in this, the last time I had this experience was when I was watching tales from █████████'s Decameron on TV.)
SarahBrown	testing	Mike Newell	Great credit is due to the Director, ███████████, and all members of the cast, particularly those well known British Actresses who play the four principal ladies.
SarahBrown	training	Al	By the end, little ██ learns some hard lessons about the reality of war and the requisite suffering and sacrifice.
SarahBrown	training	Veronika	The scenes of ████████ in the middle of the tanks, or in the train station with many figurants are awesome.
SarahBrown	training	Dennis Leary	It reminds me of the ████████████ joke about great musicians dying in kitchen fires while useless ones live forever.
SarahBrown	training	Charles Vidor	This is definitely an outstanding 1944 musical with great young stars and famous veteran actors under the direction of █████████████.
SarahBrown	validation	Jerome Kern's	"█████████████ music is heard through out the entire picture and the song, ""Long Ago & Far Away"" is the theme music for this musical."
SarahBrown	training	Elizabeth Arngrim	From the use of the actual villa that inspired █████████████████ to write the novel in the 1920s to the inspired casting, every choice was perfectly right!
